source_id,bp_rp,bp_g,g_rp
4615963294755217408,0.527153,-1.0101147,1.5372677
4627494526030330112,0.9003744,0.047614098,0.8527603
4780101070608341376,0.42373466,-1.1600838,1.5838184
4794480174438869632,0.6061001,0.12947845,0.47662163
5214907135699427840,0.7866745,-1.0859852,1.8726597
5281660651288601472,0.68758965,0.11105728,0.57653236
5288381519192893824,0.8211117,-0.7561798,1.5772915
5476816543512792960,0.5399151,-1.0878887,1.6278038
5500810189340244096,0.18492794,-1.3366985,1.5216265
5500823898871196032,0.22411919,-1.420105,1.6442242
5548974158749499008,1.3184013,-0.33782578,1.6562271
